責任類型,維修項目類別,維修項目名稱,常見維修反應細項,專業檢查方法,處理建議 (SOP) 補充,頁面連結,Youtube 影片說明
住家,給/排水設備,水龍頭持續滴水,水龍頭或三角凡爾持續滴水。,觀察滴水點（出水口或軸心），確認墊圈或卡匣老化。,關閉進水開關，更換墊圈、止水帶或水龍頭軸心。,"https://www.sky-family.net/api/line/index.php?
corp=2019082302&key=4lReDDkl3%40iCNBB9",https://youtu.be/yddFy483ta8
住家,給/排水設備,水閥開關不順/水量小,水龍頭/三角凡爾開關扭力不順，或出水量變小。,檢查水閥內部是否有水垢或雜質堵塞。,更換水閥內部零件或整個三角凡爾。,"https://www.sky-family.net/api/line/index.php?
corp=2019082302&key=4lReDDkl3%40iCNBB9",https://youtu.be/yddFy483ta8
住家,給/排水設備,馬桶堵塞,馬桶嚴重堵塞或沖水無力。,觀察堵塞深度，確認是主幹管還是自家彎管問題。,使用專業馬桶吸盤或工具疏通，避免使用強酸強鹼。,"https://www.sky-family.net/api/line/index.php?
corp=2019082302&key=4lReDDkl3%40iCNBB9",https://youtu.be/yddFy483ta8
住家,給/排水設備,馬桶持續進水,馬桶水箱不斷進水或有微小滲水聲。,打開水箱，檢查浮球、進水閥、落水皮是否故障或密合不良。,更換水箱內的落水皮或進水閥組。,"https://www.sky-family.net/api/line/index.php?
corp=2019082302&key=4lReDDkl3%40iCNBB9",https://youtu.be/yddFy483ta8
住家,給/排水設備,馬桶底座滲水,馬桶底座周圍滲水（非外部凝結水）。,檢查底座油泥是否老化，確認是否為下方排污管破損。,重新安裝馬桶，底座施作止水與矽利康。若為管線破損，需破壞地坪維修。,"https://www.sky-family.net/api/line/index.php?
corp=2019082302&key=4lReDDkl3%40iCNBB9",https://youtu.be/yddFy483ta8
住家,給/排水設備,浴缸/淋浴間積水,浴缸或淋浴間洩水慢或積水。,檢查地排落水頭下方是否積存毛髮、皂垢。,清理落水頭內部雜物，使用疏通工具。,"https://www.sky-family.net/api/line/index.php?
corp=2019082302&key=4lReDDkl3%40iCNBB9",https://youtu.be/yddFy483ta8
住家,給/排水設備,室內沼氣/臭味,室內有不明臭味或沼氣味。,檢查排水管存水彎是否乾燥，管道間通風是否不良。,補充存水彎水分，若持續存在，請專業技師檢查管道間銜接處是否漏氣。,"https://www.sky-family.net/api/line/index.php?
corp=2019082302&key=4lReDDkl3%40iCNBB9",https://youtu.be/yddFy483ta8
住家,熱水器與瓦斯,熱水器點火故障,熱水器點不著火或忽冷忽熱。,檢查電池電力、點火針、水盤膜片、燃氣比例閥。,聯繫原廠或合格技師維修或更換零件。,"https://www.sky-family.net/api/line/index.php?
corp=2019082302&key=4lReDDkl3%40iCNBB9",https://youtu.be/yddFy483ta8
住家,熱水器與瓦斯,熱水器管線漏水,熱水器機體或其連接管線有漏水現象。,檢查水管接頭、熱水器水盤有無破裂。,請水電師傅處理管線接頭，熱水器本體漏水聯繫原廠。,"https://www.sky-family.net/api/line/index.php?
corp=2019082302&key=4lReDDkl3%40iCNBB9",https://youtu.be/yddFy483ta8
住家,熱水器與瓦斯,瓦斯洩漏或鏽蝕,瓦斯管線有異味或總開關處鏽蝕、異音。,肥皂水測漏、觀察管線與接頭狀態。,立即通報瓦斯公司處理，切勿自行拆卸。,"https://www.sky-family.net/api/line/index.php?
corp=2019082302&key=4lReDDkl3%40iCNBB9",https://youtu.be/yddFy483ta8
住家,電力與線路,專用迴路跳電,冷氣、廚房等專用迴路頻繁跳電。,檢查該迴路電流是否超過額定值，電錶測量線路絕緣阻抗。,避免同時使用高功率電器，請電工檢查線路。,"https://www.sky-family.net/api/line/index.php?
corp=2019082302&key=4lReDDkl3%40iCNBB9",https://youtu.be/yddFy483ta8
住家,電力與線路,插座發熱,插座有發熱或變色現象。,檢查插座內接線是否鬆脫或氧化。,立即停止使用，請電工更換合格插座並檢查線路負載。,"https://www.sky-family.net/api/line/index.php?
corp=2019082302&key=4lReDDkl3%40iCNBB9",https://youtu.be/yddFy483ta8
住家,電力與線路,嵌燈燒壞或閃爍,天花板嵌燈燒壞或有不規律閃爍。,檢查燈具驅動器 (Driver) 或燈座接頭是否老化。,更換合格的 LED 嵌燈或驅動器。,"https://www.sky-family.net/api/line/index.php?
corp=2019082302&key=4lReDDkl3%40iCNBB9",https://youtu.be/yddFy483ta8
住家,電力與線路,訊號不良,網路線/有線電視訊號不良或中斷。,測量弱電箱內訊號強度，檢查自家線路接頭是否鬆脫。,聯繫系統業者或自行更換線路接頭。,"https://www.sky-family.net/api/line/index.php?
corp=2019082302&key=4lReDDkl3%40iCNBB9",https://youtu.be/yddFy483ta8
住家,門窗與裝修,窗戶滲水或漏風,窗戶在下雨時漏水，或有明顯的風切聲（漏風）。,水柱測試窗框外部接縫處、檢查矽利康和氣密條。,重新施打中性耐候型矽利康，更換老化氣密條。,"https://www.sky-family.net/api/line/index.php?
corp=2019082302&key=4lReDDkl3%40iCNBB9",https://youtu.be/yddFy483ta8
住家,門窗與裝修,大門/窗戶鎖具故障,大門門鎖、電子鎖或窗戶鎖具無法順利開關。,檢查鎖體內部零件是否磨損，電子鎖檢查電源和線路。,聯繫專業鎖匠維修/更換鎖體。,"https://www.sky-family.net/api/line/index.php?
corp=2019082302&key=4lReDDkl3%40iCNBB9",https://youtu.be/yddFy483ta8
住家,門窗與裝修,牆面壁癌/反潮,牆面有壁癌、油漆起泡剝落、室內反潮嚴重。,測量牆體含水率、溫濕度，判斷是否為「結露」（反潮）或滲水。,反潮：加強除濕通風。壁癌：需刮除重作防水層與油漆。,"https://www.sky-family.net/api/line/index.php?
corp=2019082302&key=4lReDDkl3%40iCNBB9",https://youtu.be/yddFy483ta8
住家,門窗與裝修,地磚隆起/破損,室內小區域地磚隆起或破損。,敲擊測試（判斷空心），測量隆起高度。,局部撬開隆起地磚，重新鋪設或更換。,"https://www.sky-family.net/api/line/index.php?
corp=2019082302&key=4lReDDkl3%40iCNBB9",https://youtu.be/yddFy483ta8
住家,冷氣設備,冷氣不冷/效率差,冷氣開啟後冷房效率不佳或不冷。,檢查冷媒壓力、室外機散熱鰭片清潔度。,聯繫廠商充填冷媒，清洗室外機散熱鰭片。,"https://www.sky-family.net/api/line/index.php?
corp=2019082302&key=4lReDDkl3%40iCNBB9",https://youtu.be/yddFy483ta8
住家,冷氣設備,室內機滴水,室內機有水滴出。,檢查排水管是否堵塞、機體安裝是否傾斜。,使用氣槍或專業工具疏通排水管。,"https://www.sky-family.net/api/line/index.php?
corp=2019082302&key=4lReDDkl3%40iCNBB9",https://youtu.be/yddFy483ta8
住家,冷氣設備,室外機噪音/震動,室外機運轉時噪音或震動過大。,檢查底座避震墊是否老化、風扇葉片是否平衡。,更換老化避震墊，若為壓縮機異音需聯繫原廠。,"https://www.sky-family.net/api/line/index.php?
corp=2019082302&key=4lReDDkl3%40iCNBB9",https://youtu.be/yddFy483ta8
住家,環境與衛生,室內白蟻/蟲害,室內發現白蟻、蟑螂等害蟲孳生。,請專業除蟲公司檢查，判斷蟲害來源（自家或公共區）。,聯繫專業公司進行除蟲工程，若公共區域傳入則通知管委會。,"https://www.sky-family.net/api/line/index.php?
corp=2019082302&key=4lReDDkl3%40iCNBB9",https://youtu.be/yddFy483ta8
